epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1059.31,0.7004,0.72322,1.04594,0.92332,0.93657,0.97729,0.88584,0.51494,0.40408,1.04937,0.0003632,0.0003632,0.0003632
126,1067.67,0.69345,0.70772,1.04036,0.92506,0.94722,0.97599,0.8863,0.51236,0.3828,1.05338,0.00035,0.00035,0.00035
127,1076.35,0.72416,0.74157,1.05842,0.91878,0.95,0.97578,0.8945,0.50476,0.38836,1.06055,0.0003368,0.0003368,0.0003368
128,1084.78,0.74005,0.74298,1.06671,0.92765,0.96166,0.98148,0.8896,0.51233,0.37903,1.01189,0.0003236,0.0003236,0.0003236
129,1093.27,0.69676,0.69732,1.03769,0.94151,0.95,0.97898,0.90425,0.48478,0.38297,1.07158,0.0003104,0.0003104,0.0003104
130,1101.67,0.71764,0.72838,1.05796,0.9246,0.95278,0.97605,0.88353,0.52525,0.39263,1.06251,0.0002972,0.0002972,0.0002972
131,1110.05,0.70155,0.70823,1.0389,0.93614,0.96667,0.9766,0.89564,0.50206,0.38328,1.04751,0.000284,0.000284,0.000284
132,1118.43,0.67894,0.68086,1.02521,0.95134,0.93333,0.97489,0.90073,0.49554,0.38067,1.06768,0.0002708,0.0002708,0.0002708
133,1126.79,0.70464,0.71604,1.06025,0.92449,0.95,0.97734,0.90186,0.48492,0.37852,1.0719,0.0002576,0.0002576,0.0002576
134,1135.13,0.70601,0.71693,1.04441,0.93692,0.96111,0.97697,0.89643,0.49423,0.36648,1.06196,0.0002444,0.0002444,0.0002444
135,1143.53,0.70169,0.69645,1.04252,0.94328,0.94444,0.97867,0.89565,0.49744,0.39423,1.03498,0.0002312,0.0002312,0.0002312
136,1151.88,0.6963,0.71348,1.04769,0.95023,0.95833,0.97739,0.89737,0.49607,0.35921,0.9905,0.000218,0.000218,0.000218
137,1160.39,0.67791,0.67628,1.02982,0.94223,0.95145,0.9788,0.90598,0.47199,0.35649,1.01354,0.0002048,0.0002048,0.0002048
138,1168.79,0.68039,0.68183,1.04276,0.95187,0.93889,0.97886,0.90517,0.46972,0.37258,0.9968,0.0001916,0.0001916,0.0001916
139,1177.2,0.68694,0.6743,1.03545,0.95289,0.95556,0.98049,0.90345,0.48021,0.36343,1.03966,0.0001784,0.0001784,0.0001784
140,1185.55,0.691,0.67281,1.05077,0.95057,0.95833,0.9824,0.89888,0.49655,0.35623,1.0006,0.0001652,0.0001652,0.0001652
141,1194.43,0.51252,0.50578,0.91409,0.94523,0.93333,0.97588,0.89723,0.48806,0.39695,1.05793,0.000152,0.000152,0.000152
142,1202.76,0.5088,0.42703,0.90767,0.93208,0.94167,0.9756,0.89777,0.48782,0.40312,1.06262,0.0001388,0.0001388,0.0001388
143,1211.09,0.51185,0.44961,0.92076,0.95961,0.92399,0.97927,0.89553,0.49935,0.37848,1.05711,0.0001256,0.0001256,0.0001256
144,1219.44,0.50714,0.43982,0.91488,0.95181,0.95,0.97871,0.90063,0.47717,0.3712,1.02982,0.0001124,0.0001124,0.0001124
145,1227.75,0.49842,0.42678,0.90748,0.9503,0.95278,0.97827,0.89596,0.48462,0.36412,1.03049,9.92e-05,9.92e-05,9.92e-05
146,1236.23,0.50488,0.42019,0.9193,0.94998,0.94958,0.9767,0.89881,0.48245,0.35881,1.03874,8.6e-05,8.6e-05,8.6e-05
147,1244.57,0.48318,0.40951,0.8942,0.94241,0.97222,0.9782,0.90456,0.47108,0.34811,1.03457,7.28e-05,7.28e-05,7.28e-05
148,1252.88,0.48976,0.39764,0.91204,0.95166,0.95556,0.97916,0.90327,0.47042,0.35325,1.02672,5.96e-05,5.96e-05,5.96e-05
149,1261.21,0.48316,0.40667,0.90153,0.94399,0.96111,0.97858,0.90143,0.48132,0.35907,1.02597,4.64e-05,4.64e-05,4.64e-05
150,1269.52,0.48841,0.39603,0.90172,0.94034,0.96313,0.97857,0.90011,0.48848,0.35356,1.0261,3.32e-05,3.32e-05,3.32e-05
